EKF: 
[LASER] Initializing x: 
0.312243
 0.58034
     5.5
     0.5
>> Accuracy | rmse_px -> 0.0585506  | rmse_py -> 0.0902547  | rmse_vx -> 0.461448   | rmse_vy -> 0.477838  
>> Accuracy | rmse_px -> 0.0590548  | rmse_py -> 0.0966079  | rmse_vx -> 0.459919   | rmse_vy -> 0.48661   
>> Accuracy | rmse_px -> 0.0587975  | rmse_py -> 0.0997418  | rmse_vx -> 0.45724    | rmse_vy -> 0.489033  
>> Accuracy | rmse_px -> 0.0593655  | rmse_py -> 0.102355   | rmse_vx -> 0.457844   | rmse_vy -> 0.49013   
>> Accuracy | rmse_px -> 0.0593402  | rmse_py -> 0.103194   | rmse_vx -> 0.457141   | rmse_vy -> 0.488337  
>> Accuracy | rmse_px -> 0.058769   | rmse_py -> 0.103525   | rmse_vx -> 0.452769   | rmse_vy -> 0.48658   
>> Accuracy | rmse_px -> 0.0583132  | rmse_py -> 0.103502   | rmse_vx -> 0.448748   | rmse_vy -> 0.484503  
>> Accuracy | rmse_px -> 0.0578405  | rmse_py -> 0.103783   | rmse_vx -> 0.444781   | rmse_vy -> 0.483513  
>> Accuracy | rmse_px -> 0.0574161  | rmse_py -> 0.10323    | rmse_vx -> 0.441055   | rmse_vy -> 0.480842  
>> Accuracy | rmse_px -> 0.0574341  | rmse_py -> 0.102882   | rmse_vx -> 0.439581   | rmse_vy -> 0.478803  
>> Accuracy | rmse_px -> 0.0572888  | rmse_py -> 0.103589   | rmse_vx -> 0.438209   | rmse_vy -> 0.479495  
>> Accuracy | rmse_px -> 0.057463   | rmse_py -> 0.103847   | rmse_vx -> 0.438382   | rmse_vy -> 0.479019  
>> Accuracy | rmse_px -> 0.0576075  | rmse_py -> 0.1031     | rmse_vx -> 0.438303   | rmse_vy -> 0.476073  
>> Accuracy | rmse_px -> 0.0577858  | rmse_py -> 0.102312   | rmse_vx -> 0.436124   | rmse_vy -> 0.473627  
>> Accuracy | rmse_px -> 0.0580932  | rmse_py -> 0.101553   | rmse_vx -> 0.43426    | rmse_vy -> 0.470173  
>> Accuracy | rmse_px -> 0.0585866  | rmse_py -> 0.10073    | rmse_vx -> 0.43241    | rmse_vy -> 0.467996  
>> Accuracy | rmse_px -> 0.0595639  | rmse_py -> 0.0999286  | rmse_vx -> 0.431377   | rmse_vy -> 0.466097  
>> Accuracy | rmse_px -> 0.0605367  | rmse_py -> 0.0991718  | rmse_vx -> 0.428801   | rmse_vy -> 0.46594   
>> Accuracy | rmse_px -> 0.0613762  | rmse_py -> 0.0985461  | rmse_vx -> 0.426408   | rmse_vy -> 0.463854  
>> Accuracy | rmse_px -> 0.0628194  | rmse_py -> 0.0978544  | rmse_vx -> 0.424975   | rmse_vy -> 0.462584  
>> Accuracy | rmse_px -> 0.0638037  | rmse_py -> 0.0972867  | rmse_vx -> 0.423583   | rmse_vy -> 0.460926  
>> Accuracy | rmse_px -> 0.0642029  | rmse_py -> 0.0966137  | rmse_vx -> 0.420461   | rmse_vy -> 0.461428  
>> Accuracy | rmse_px -> 0.0641216  | rmse_py -> 0.0968557  | rmse_vx -> 0.417403   | rmse_vy -> 0.459141  
>> Accuracy | rmse_px -> 0.0640477  | rmse_py -> 0.0965623  | rmse_vx -> 0.414434   | rmse_vy -> 0.458445  
>> Accuracy | rmse_px -> 0.0637398  | rmse_py -> 0.0966179  | rmse_vx -> 0.41155    | rmse_vy -> 0.457033  
>> Accuracy | rmse_px -> 0.0634097  | rmse_py -> 0.0961038  | rmse_vx -> 0.40871    | rmse_vy -> 0.45813   
>> Accuracy | rmse_px -> 0.0632792  | rmse_py -> 0.0954436  | rmse_vx -> 0.406334   | rmse_vy -> 0.46119   
>> Accuracy | rmse_px -> 0.0630836  | rmse_py -> 0.0948572  | rmse_vx -> 0.403693   | rmse_vy -> 0.466169  
>> Accuracy | rmse_px -> 0.0629599  | rmse_py -> 0.0942293  | rmse_vx -> 0.40135    | rmse_vy -> 0.468354  
>> Accuracy | rmse_px -> 0.0629104  | rmse_py -> 0.0936078  | rmse_vx -> 0.399403   | rmse_vy -> 0.470769  
